#1;
# Stochastic profiles for vehicle car location, created with the LoadProfileGenerator https://github.com/loadprofilegenerator/LoadProfileGenerator
# 0: driving, 1: home, 2: shopping, 3: event location, 4: school, 5: work
#ID	IN03_37_20	IN03_110_30	IN05_220_25	IN05_110_10	IN20_110_15	IN20_220_25	IN21_110_5	IN21_220_20
double default(35040,9);

283500	1	5	5	1	1	5	5	5
284400	1	5	5	1	0	5	5	5
285300	1	5	5	1	0	5	5	5
286200	1	5	5	0	4	5	5	5
287100	1	5	5	4	4	5	5	5
288000	1	5	5	4	4	5	5	5
288900	1	5	5	4	4	5	5	5
289800	1	5	5	4	4	5	5	5
290700	1	5	5	4	4	5	5	5
291600	0	5	5	4	4	5	5	5
292500	0	5	5	4	4	5	5	5
293400	5	5	5	4	4	5	5	5
294300	5	5	5	4	4	5	5	5
295200	5	5	5	4	4	5	5	5
296100	5	5	5	4	4	5	5	5
297000	5	5	5	4	4	5	5	5
297900	5	5	5	4	4	5	5	5
298800	5	5	5	4	4	5	5	5
299700	5	5	5	4	4	5	5	5
300600	5	5	5	4	4	5	5	5
301500	5	5	5	4	4	5	5	5
302400	5	5	5	4	4	5	5	5
303300	5	0	5	4	4	5	5	5
304200	5	0	5	4	4	5	5	5
305100	5	0	5	4	4	5	5	5
306000	5	1	5	4	4	0	5	5
306900	5	1	5	4	4	0	5	5
307800	5	1	5	0	4	0	5	5
308700	5	1	5	1	4	1	0	5
309600	5	1	5	1	4	0	1	5
310500	5	1	5	1	0	0	1	5
311400	5	1	5	1	0	2	1	0
312300	5	1	5	1	1	2	1	0
313200	5	1	5	1	1	2	1	1
314100	5	1	5	1	1	2	1	1
315000	5	1	5	1	1	2	1	1
315900	5	1	5	1	1	2	1	1
316800	0	0	5	1	1	2	1	1
317700	0	0	5	1	0	0	1	1
318600	1	3	5	1	0	0	1	1
319500	1	3	5	1	2	1	1	1
320400	1	3	5	1	2	1	1	1
321300	1	3	0	1	2	1	1	1
322200	1	3	0	1	2	1	1	1
323100	1	3	1	1	2	1	1	1
324000	1	3	1	0	2	1	1	1
324900	1	3	1	0	2	1	1	1
325800	1	0	1	3	2	1	1	1
326700	1	1	1	3	2	1	1	1
327600	1	1	0	3	0	1	1	1
328500	1	1	0	3	0	1	1	1
329400	1	1	3	3	1	1	1	1
330300	1	1	3	3	1	1	1	1
331200	0	1	3	3	1	1	1	1
332100	3	1	3	3	1	1	1	1
